Model,MAE,RMSE,R2 Score
Linear Regression,17865.027688634545,24249.442086761752,0.9066658710862237
MLP,17602.518337572565,24727.262204479586,0.902951451465253
LSTM (Proposed),15326.93187744933,22806.553274884212,0.9174425466039295
